# Created at 2021-03-26 16:46 UTC by TPP v4.3, file format v1.1
# Station ID,Unique ID,Station code,X,Y,Z,Latitude,Longitude,Height,Antenna height [m],Name,Station name,Manufacturer,Receiver Name,Receiver Firmware Version,Receiver Serial Number
44,47,SAMM,-2287978.93947156,-3656821.24730825,4682496.04304187,47.539858994,-122.033155417,7.474,0,TRM57971.00     NONE,SAMM,TRIMBLE,TRIMBLE NETR9,,
2,48,SMAI,-2308603.8386,-3645502.125,4681351.5,47.523567653,-122.345040959,113.784,0,TRM115000.10    NONE,SMAI,TRIMBLE,TRIMBLE ALLOY,Nav 5.45 / Boot 5.45,
22,49,SNOQ,-2253283.37247611,-3693171.57161679,4671892.08715873,47.391305317,-121.388264272,770.442,0,LEIAR10         NONE,SNOQ,LEICA,LEICA GR10,4.30.063,1702780
32,50,SPKN,-1988858.27657428,-3820144.05139258,4689588.44815045,47.627659,-117.502562481,695.026,0,TRM57971.00     SCIT,SPKN,TRIMBLE,TRIMBLE NETR9,Nav 5.45 / Boot 5.45,
301,51,SPRG,-2032496.1384,-3826545.3919,4665631.2989,47.309851058,-117.975315847,600.951,0,TRM57971.00     SCIT,SPRG,TRIMBLE,TRIMBLE NETR9,Nav 5.20 / Boot 5.20,5349K48434
6,52,SSHO,-2299720.2887,-3635669.332,4693221.8868,47.682295472,-122.315147691,74.444,0,TRM115000.00    NONE,SSHO,TRIMBLE,TRIMBLE ALLOY,Nav 5.44 / Boot 5.44,
48,53,TACO,-2329575.6277,-3660719.6698,4659139.7457,47.228863251,-122.471490256,81.449,0,TRM115000.00    NONE,TACO,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,
41,54,TUMW,-2368470.8866,-3659397.6438,4640607.9056,46.9842967,-122.912144017,46.348,0,TRM57971.00     NONE,TUMW,TRIMBLE,TRIMBLE NETR9,Nav 5.33 / Boot 5.33,
3,55,UFDA,-2318801.0655,-3616428.5082,4698662.6179,47.755005136,-122.667398844,76.927,0,TRM115000.00    NONE,UFDA,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,
415,56,VRNT,-2175807.74938774,-3809649.20451903,4614223.68148444,46.636853678,-119.732015425,116.288,0,LEIAR10         NONE,VRNT,LEICA,LEICA GR10,3.22.1818,1702774
400,58,YAKI,-2228388.3988,-3782290.7577,4611939.5997,46.604959772,-120.505047933,324.161,0,TRM115000.00    NONE,YAKI,TOPCON,TPS NET-G5,,
18,59,YELM,-2350437.50778105,-3674468.74587825,4637934.60024149,46.948712736,-122.605717894,82.347,0,LEIAT504GG      LEIS,YELM,LEICA,LEICA GRX1200GGPRO,,
12,6,CHCM,-2314209.0291,-3594275.7525,4717681.2919,48.010613564,-122.775849686,20.698,0,TRM57971.00     SCIT,CHCM,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,
414,60,ANAT,-2019788.95034013,-3941005.57369273,4576277.95326565,46.132859694,-117.135411283,1087.775,0,LEIAR10         NONE,ANAT,LEICA,LEICA GR10,3.22.1818,1702758
151,61,ARLN,-2243185.5067,-3856771.1257,4542744.8908,45.708201367,-120.183253111,120.839,0,SEPCHOKE_B3E6   SPKE,ARLN,SEPTENTRIO,SEPT POLARX5,,
14,62,BELI,-2262308.1088,-3553992.473,4772667.5442,48.755264366,-122.478954681,10.878,0,TRM115000.00    NONE,BELI,TRIMBLE,TRIMBLE NETR9,Nav 5.45 / Boot 5.45,5351K48736
104,64,CATH,-2432422.2622,-3693553.6741,4580495.3784,46.197298747,-123.367253644,56.664,0,TRM115000.00    NONE,CATH,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,
35,65,CNCR,-2226393.3864,-3597912.156,4756790.246,48.538702116,-121.749283605,56.039,0,TRM115000.00    NONE,CNCR,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,
111,66,COUG,-2366584.67438509,-3749249.67790467,4569926.34018729,46.059211861,-122.2607576,151.856,0,TRM115000.00    NONE,COUG,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,
103,67,CROK,-2399639.73440731,-3707500.787569,4586398.56595616,46.274595794,-122.912525914,1.473,0,TRM115000.00    NONE,CROK,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,
28,68,CWAK,-2211984.6195278,-3546272.90074558,4801699.36600207,49.152926978,-121.953816364,0.049,0,TRM55971.00     NONE,CWAK,TRIMBLE,TRIMBLE NETR5,Nav 0.00 / Boot 4.03,4838K58478
406,69,GOLY,-2279954.8304,-3824289.3858,4552359.4051,45.828693647,-120.802440839,500.6,0,TRM115000.00    NONE,GOLY,TRIMBLE,TRIMBLE NETR9,Nav 5.22 / Boot 5.22,
408,7,CHEL,-2144269.4333,-3715497.9634,4704579.71,47.831550968,-119.98988701,345.9219,0,TRM115000.00    NONE,CHEL,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,
611,70,LWST,-2001657.3535,-3928085.4869,4594274.1789,46.373173578,-117.002290799,427.599,0,TRM115000.00    NONE,LWST,TRIMBLE,TRIMBLE NETR9,Nav 5.45 / Boot 5.45,?\_r?wd#
70,71,MKAH,-2409846.9153,-3494680.318,4744374.0623,48.370670494,-124.589206013,23.962,0,TRM115000.00    NONE,MKAH,TRIMBLE,TRIMBLE NETR9,Nav 5.33 / Boot 5.33,
50,73,OCEN,-2449015.1415,-3609074.6383,4638139.2924,46.952367453,-124.159696811,-17.08,0,TRM57971.00     SCIT,OCEN,TRIMBLE,TRIMBLE NETR9,Nav 5.22 / Boot 5.22,5711R50015
78,74,P402,-2420717.2736,-3547856.6827,4699461.485,47.766217222,-124.305879667,24.037,0,TRM59800.00     SCIT,P402,SEPTENTRIO,SEPT POLARX5,,
101,75,P414,-2404437.2712,-3746328.4314,4552524.302,45.834864475,-122.692820775,64.212,0,TRM59800.00     SCIT,P414,TRIMBLE,TRIMBLE NETR9,Nav 5.42 / Boot 5.42,?/??ci?#
419,78,POME,-2040737.66069808,-3898317.84250357,4602545.10892587,46.47994055,-117.631691408,551.491,0,LEIAR10         NONE,POME,LEICA,LEICA GR10,3.22.1818,1702719
404,79,PRSR,-2196597.28877743,-3836900.38769871,4582010.88508508,46.215672361,-119.790820331,198.058,0,TRM115000.00    NONE,PRSR,TOPCON,TPS NET-G5,5.2.6 May,08,2020,
312,8,COLV,-1979944.41637555,-3738951.58435533,4757558.88468358,48.544760069,-117.903248889,486.513,0,TRM115000.00    NONE,COLV,TRIMBLE,TRIMBLE NETR9,Nav 5.45 / Boot 5.45,
413,80,PTSN,-2195371.3692,-3863023.5685,4560632.4817,45.939154328,-119.609738306,119.017,0,LEIAR10         NONE,PTSN,LEICA,LEICA GR10,4.30.063,1702781
421,81,RICH,-2159688.1277,-3852039.9007,4586683.0466,46.277372211,-119.277644598,99.95,0,TRM115000.00    NONE,RICH,TRIMBLE,TRIMBLE NETR9,Nav 5.33 / Boot 5.33,
33,82,P444,-2175326.7175,-3610705.0773,4771193.8666,48.730214739,-121.06753043,494.225,0,TRM59800.00     SCIT,P444,TRIMBLE,TRIMBLE NETR9,Nav 5.42 / Boot 5.42,5303K57605
118,83,RYMD,-2433981.6295,-3645410.5819,4617738.364,46.684125842,-123.730394944,-10.126,0,TRM115000.00    NONE,RYMD,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,
38,84,SC02,-2304500.7196,-3547590.5789,4757288.5232,48.546190411,-123.007592942,-14.719,0,TRM59800.00     SCIT,SC02,TRIMBLE,TRIMBLE NETR9,Nav 5.42 / Boot ,5303K57570
150,87,TDLS,-2310666.885,-3825982.5406,4534870.8695,45.607706705,-121.129490089,26.935,0,LEIAR25.R4      LEIT,TDLS,SEPTENTRIO,SEPT POLARX5,,
123,88,VCWA,-2402166.12255272,-3768314.88332032,4535677.89847091,45.617623158,-122.516055267,77.397,0,TRM115000.00    NONE,VCWA,TRIMBLE,TRIMBLE NETR9,Nav 5.33 / Boot 5.33,
45,89,VERN,-2268557.22949881,-3583351.59698714,4747843.84840963,48.417849353,-122.337185464,5.639,0,LEIAX1202GG     NONE,VERN,LEICA,LEICA GRX1200GGPRO,9.20.3316,351661
13,9,COUP,-2299304.1109,-3583516.7324,4733026.2649,48.21730677,-122.685587355,21.337,0,TRM57971.00     SCIT,COUP,TRIMBLE,TRIMBLE NETR9,Nav 5.45 / Boot 5.45,
401,90,WALA,-2097953.31733165,-3903153.19100211,4572573.10691236,46.091505467,-118.258126161,369.238,0,LEIAR10         NONE,WALA,LEICA,LEICA GR10,3.22.1818,1702749
226,91,XANE,-2184708.6480921,-3728783.55187307,4675661.07150282,47.444889372,-120.366201819,414.016,0,TRM57971.00     SCIT,XANE,TRIMBLE,TRIMBLE NETR9,Nav 5.22 / Boot 5.22,
79,92,DEEJ,-2410810.5455,-3584133.2131,4677232.5783,47.468832678,-123.926125703,103.916,0,TRM57971.00     SCIT,DEEJ,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,
